cgpa,ssc,hsc,internships,projects,aptitude,communication,training,placed
8.42,60.0,72.0,0.0,2.0,96.0,1.0,1.0,1
6.68,51.0,92.0,0.0,3.0,93.0,9.0,1.0,1
5.88,66.0,74.0,2.0,5.0,82.0,7.0,1.0,1
9.27,69.0,77.0,3.0,0.0,91.0,3.0,1.0,1
7.29,56.0,64.0,2.0,2.0,73.0,9.0,1.0,1
5.13,72.0,78.0,2.0,5.0,92.0,8.0,1.0,1
9.51,84.0,52.0,0.0,5.0,80.0,10.0,1.0,1
7.57,68.0,70.0,1.0,5.0,98.0,2.0,0.0,1
9.33,66.0,56.0,0.0,1.0,51.0,1.0,0.0,0
6.13,73.0,80.0,2.0,5.0,48.0,5.0,1.0,1
8.16,86.0,66.0,0.0,0.0,82.0,2.0,0.0,0
8.77,65.0,61.0,0.0,1.0,100.0,5.0,1.0,1
5.09,60.0,86.0,3.0,0.0,76.0,6.0,0.0,1
6.45,62.0,77.0,1.0,0.0,62.0,1.0,1.0,0
7.69,68.0,81.0,2.0,3.0,96.0,1.0,0.0,1
6.43,78.0,71.0,0.0,4.0,65.0,1.0,1.0,0
6.5,76.0,57.0,0.0,2.0,84.0,3.0,0.0,0
5.56,66.0,80.0,2.0,2.0,51.0,10.0,0.0,1
9.75,90.0,52.0,2.0,0.0,87.0,6.0,1.0,1
6.76,54.0,56.0,0.0,1.0,65.0,8.0,1.0,1
7.02,76.0,62.0,2.0,3.0,46.0,2.0,0.0,0
9.69,70.0,64.0,1.0,1.0,88.0,8.0,1.0,1
8.17,71.0,80.0,2.0,4.0,79.0,7.0,1.0,1
6.52,79.0,68.0,1.0,3.0,81.0,8.0,1.0,1
9.34,67.0,60.0,0.0,3.0,43.0,8.0,1.0,1
9.33,51.0,71.0,0.0,2.0,50.0,4.0,1.0,1
7.28,65.0,92.0,0.0,4.0,63.0,2.0,1.0,0
5.93,68.0,88.0,2.0,2.0,44.0,7.0,0.0,0
5.98,53.0,55.0,0.0,5.0,87.0,8.0,1.0,1
7.19,83.0,66.0,3.0,0.0,56.0,4.0,0.0,0
8.11,63.0,71.0,0.0,2.0,77.0,8.0,1.0,1
8.01,80.0,61.0,1.0,3.0,72.0,4.0,0.0,1
6.23,55.0,79.0,3.0,1.0,66.0,10.0,0.0,1
6.58,64.0,68.0,2.0,3.0,75.0,9.0,1.0,1
7.51,83.0,80.0,0.0,3.0,99.0,5.0,1.0,1
9.51,70.0,61.0,1.0,5.0,41.0,6.0,1.0,1
7.97,87.0,69.0,2.0,0.0,52.0,6.0,0.0,1
7.69,69.0,68.0,0.0,0.0,53.0,6.0,0.0,0
7.98,72.0,89.0,0.0,1.0,47.0,7.0,0.0,0
8.19,92.0,71.0,3.0,2.0,76.0,5.0,0.0,1
8.43,90.0,79.0,3.0,5.0,71.0,6.0,1.0,1
9.37,82.0,94.0,0.0,5.0,56.0,1.0,1.0,1
5.48,74.0,86.0,2.0,4.0,42.0,2.0,1.0,0
9.12,71.0,57.0,3.0,1.0,60.0,3.0,1.0,1
9.34,65.0,53.0,3.0,4.0,66.0,4.0,0.0,1
8.58,72.0,52.0,3.0,5.0,74.0,4.0,1.0,1
8.15,95.0,65.0,0.0,5.0,81.0,10.0,0.0,1
8.69,93.0,72.0,1.0,0.0,71.0,5.0,0.0,1
8.98,56.0,56.0,3.0,0.0,63.0,2.0,0.0,1
7.44,82.0,70.0,3.0,5.0,62.0,1.0,0.0,1
7.29,85.0,84.0,0.0,5.0,97.0,4.0,0.0,1
8.77,65.0,55.0,3.0,5.0,78.0,5.0,1.0,1
5.32,53.0,94.0,3.0,3.0,93.0,3.0,0.0,1
5.18,94.0,86.0,0.0,2.0,63.0,5.0,1.0,0
7.46,56.0,50.0,2.0,4.0,67.0,5.0,1.0,1
9.73,88.0,64.0,3.0,3.0,42.0,5.0,1.0,1
7.78,90.0,57.0,0.0,5.0,57.0,2.0,0.0,0
5.83,94.0,93.0,1.0,4.0,63.0,7.0,1.0,1
6.28,53.0,74.0,2.0,1.0,92.0,9.0,1.0,1
5.39,93.0,84.0,1.0,3.0,43.0,1.0,0.0,0
9.11,50.0,62.0,2.0,3.0,45.0,10.0,1.0,1
9.28,78.0,68.0,1.0,4.0,83.0,3.0,0.0,1
6.92,62.0,83.0,0.0,4.0,66.0,1.0,1.0,0
7.3,50.0,65.0,1.0,4.0,55.0,9.0,0.0,1
5.52,59.0,93.0,0.0,5.0,48.0,4.0,1.0,0
9.58,73.0,91.0,2.0,4.0,95.0,4.0,1.0,1
8.02,85.0,90.0,2.0,0.0,87.0,5.0,0.0,1
8.79,79.0,88.0,3.0,5.0,54.0,2.0,1.0,1
9.48,81.0,78.0,2.0,2.0,53.0,6.0,1.0,1
6.52,51.0,87.0,0.0,4.0,74.0,7.0,0.0,1
7.38,71.0,81.0,2.0,2.0,86.0,10.0,0.0,1
5.6,73.0,71.0,1.0,2.0,85.0,10.0,1.0,1
7.19,90.0,91.0,3.0,5.0,64.0,7.0,0.0,1
8.31,73.0,86.0,1.0,3.0,54.0,2.0,1.0,1
7.25,89.0,88.0,1.0,5.0,99.0,1.0,0.0,1
9.5,95.0,54.0,3.0,5.0,55.0,1.0,0.0,1
5.76,95.0,80.0,1.0,2.0,58.0,10.0,0.0,1
9.69,62.0,70.0,1.0,5.0,82.0,10.0,1.0,1
5.88,80.0,84.0,3.0,3.0,44.0,2.0,0.0,0
8.31,59.0,64.0,1.0,3.0,77.0,8.0,1.0,1
6.88,54.0,91.0,0.0,2.0,63.0,4.0,0.0,0
5.92,55.0,93.0,1.0,5.0,73.0,3.0,0.0,1
5.18,95.0,75.0,1.0,1.0,70.0,4.0,1.0,0
5.4,84.0,90.0,1.0,0.0,53.0,10.0,1.0,0
5.87,73.0,56.0,2.0,2.0,97.0,5.0,0.0,1
6.87,63.0,60.0,0.0,4.0,63.0,1.0,1.0,0
5.96,65.0,65.0,0.0,3.0,58.0,6.0,0.0,0
6.23,85.0,81.0,2.0,0.0,60.0,9.0,0.0,1
6.01,84.0,63.0,0.0,0.0,98.0,10.0,0.0,1
8.97,53.0,64.0,3.0,3.0,74.0,9.0,1.0,1
5.89,55.0,59.0,1.0,5.0,56.0,8.0,0.0,1
9.76,80.0,59.0,3.0,1.0,70.0,9.0,0.0,1
7.91,58.0,94.0,1.0,1.0,97.0,3.0,1.0,1
8.92,95.0,57.0,2.0,5.0,54.0,9.0,1.0,1
9.18,72.0,54.0,3.0,1.0,62.0,10.0,0.0,1
7.51,71.0,50.0,3.0,2.0,80.0,7.0,0.0,1
6.55,80.0,93.0,0.0,0.0,69.0,1.0,0.0,0
7.16,72.0,78.0,1.0,0.0,59.0,10.0,1.0,1
7.33,62.0,57.0,2.0,2.0,48.0,10.0,0.0,1
8.57,91.0,56.0,0.0,2.0,63.0,5.0,0.0,1
8.69,66.0,90.0,0.0,3.0,65.0,9.0,1.0,1
6.48,56.0,64.0,1.0,5.0,94.0,2.0,0.0,1
7.39,84.0,60.0,2.0,4.0,94.0,10.0,0.0,1
8.29,61.0,83.0,2.0,4.0,40.0,4.0,1.0,1
9.08,94.0,52.0,0.0,0.0,77.0,2.0,1.0,1
9.24,69.0,77.0,2.0,1.0,73.0,9.0,1.0,1
6.52,88.0,62.0,2.0,5.0,87.0,3.0,1.0,1
9.21,73.0,65.0,1.0,5.0,64.0,5.0,0.0,1
8.45,74.0,86.0,0.0,4.0,95.0,5.0,1.0,1
6.33,84.0,55.0,0.0,2.0,46.0,10.0,0.0,0
9.26,67.0,58.0,2.0,5.0,79.0,5.0,1.0,1
5.71,64.0,51.0,1.0,1.0,43.0,10.0,1.0,0
5.24,60.0,95.0,0.0,2.0,56.0,5.0,0.0,0
5.28,54.0,71.0,0.0,3.0,70.0,3.0,0.0,0
5.86,76.0,64.0,0.0,5.0,70.0,4.0,0.0,0
7.36,63.0,91.0,3.0,3.0,79.0,10.0,1.0,1
8.39,83.0,80.0,1.0,4.0,50.0,1.0,0.0,0
6.77,54.0,59.0,0.0,0.0,91.0,9.0,1.0,1
8.05,90.0,68.0,0.0,3.0,85.0,10.0,0.0,1
6.58,79.0,85.0,3.0,0.0,86.0,4.0,1.0,1
7.7,52.0,56.0,1.0,3.0,44.0,5.0,1.0,1
8.46,86.0,84.0,0.0,4.0,43.0,5.0,0.0,0
6.01,73.0,81.0,0.0,5.0,96.0,3.0,1.0,1
9.17,89.0,57.0,3.0,3.0,93.0,2.0,1.0,1
6.19,55.0,73.0,2.0,0.0,76.0,8.0,0.0,1
5.27,62.0,61.0,1.0,4.0,70.0,10.0,0.0,1
9.55,65.0,76.0,3.0,5.0,44.0,6.0,1.0,1
9.64,90.0,66.0,3.0,4.0,41.0,4.0,0.0,1
5.69,95.0,75.0,2.0,3.0,89.0,1.0,0.0,1
7.65,69.0,88.0,1.0,3.0,82.0,9.0,1.0,1
8.97,67.0,76.0,0.0,2.0,57.0,2.0,0.0,0
6.19,54.0,59.0,0.0,5.0,52.0,1.0,1.0,0
7.68,78.0,86.0,0.0,5.0,93.0,7.0,1.0,1
5.51,88.0,69.0,2.0,0.0,86.0,8.0,1.0,1
6.51,51.0,63.0,2.0,5.0,81.0,4.0,0.0,1
8.61,86.0,56.0,2.0,5.0,72.0,7.0,1.0,1
6.67,82.0,73.0,1.0,0.0,78.0,8.0,0.0,1
8.34,72.0,55.0,0.0,1.0,83.0,3.0,1.0,1
8.68,63.0,52.0,2.0,4.0,65.0,1.0,1.0,1
8.3,66.0,78.0,3.0,1.0,90.0,8.0,1.0,1
7.37,64.0,84.0,1.0,5.0,71.0,5.0,1.0,1
6.86,71.0,54.0,3.0,1.0,59.0,4.0,0.0,1
9.65,59.0,69.0,3.0,2.0,50.0,2.0,1.0,1
8.87,85.0,55.0,1.0,3.0,87.0,7.0,0.0,1
7.76,81.0,86.0,2.0,0.0,64.0,3.0,0.0,0
6.7,59.0,65.0,2.0,1.0,94.0,5.0,0.0,1
6.52,65.0,83.0,0.0,1.0,42.0,6.0,0.0,0
8.66,62.0,94.0,2.0,5.0,81.0,7.0,0.0,1
5.76,71.0,59.0,3.0,0.0,79.0,6.0,0.0,1
8.17,75.0,68.0,2.0,5.0,73.0,6.0,0.0,1
8.25,71.0,86.0,1.0,3.0,65.0,4.0,1.0,1
7.35,75.0,66.0,0.0,3.0,51.0,7.0,1.0,1
7.89,83.0,73.0,1.0,5.0,53.0,10.0,1.0,1
9.56,54.0,56.0,1.0,5.0,49.0,6.0,1.0,1
8.62,63.0,77.0,2.0,5.0,90.0,10.0,1.0,1
7.19,91.0,69.0,3.0,3.0,83.0,5.0,1.0,1
6.03,85.0,73.0,3.0,2.0,55.0,8.0,1.0,1
9.45,65.0,51.0,0.0,2.0,49.0,7.0,0.0,1
6.7,86.0,86.0,2.0,4.0,88.0,7.0,0.0,1
7.7,90.0,71.0,0.0,2.0,80.0,9.0,1.0,1
5.8,81.0,67.0,0.0,1.0,45.0,2.0,0.0,0
5.73,78.0,88.0,0.0,3.0,76.0,7.0,0.0,1
8.18,50.0,65.0,1.0,4.0,50.0,6.0,0.0,1
5.06,50.0,78.0,1.0,0.0,46.0,9.0,0.0,0
7.39,71.0,95.0,3.0,5.0,59.0,10.0,1.0,1
9.33,71.0,55.0,3.0,2.0,62.0,1.0,0.0,1
6.96,67.0,54.0,1.0,5.0,82.0,7.0,1.0,1
8.6,88.0,84.0,3.0,3.0,62.0,6.0,0.0,1
5.71,53.0,52.0,0.0,3.0,98.0,5.0,0.0,1
6.51,95.0,86.0,1.0,0.0,86.0,9.0,1.0,1
9.3,87.0,86.0,2.0,4.0,86.0,5.0,1.0,1
8.93,70.0,89.0,3.0,0.0,76.0,8.0,1.0,1
9.13,65.0,93.0,3.0,0.0,87.0,5.0,1.0,1
5.7,79.0,85.0,3.0,5.0,66.0,8.0,1.0,1
9.7,66.0,86.0,1.0,3.0,62.0,5.0,0.0,1
9.12,64.0,78.0,1.0,3.0,80.0,7.0,1.0,1
9.16,81.0,87.0,3.0,1.0,48.0,1.0,1.0,1
9.6,93.0,51.0,2.0,5.0,59.0,8.0,0.0,1
6.75,69.0,91.0,0.0,3.0,86.0,4.0,0.0,1
9.04,54.0,95.0,3.0,5.0,51.0,3.0,0.0,1
7.89,50.0,85.0,3.0,0.0,47.0,2.0,1.0,0
9.56,91.0,74.0,2.0,0.0,91.0,10.0,1.0,1
6.04,79.0,62.0,0.0,2.0,49.0,9.0,0.0,0
5.52,83.0,63.0,2.0,4.0,85.0,5.0,0.0,1
8.55,74.0,75.0,0.0,5.0,55.0,10.0,1.0,1
5.76,79.0,68.0,2.0,0.0,75.0,6.0,0.0,1
9.31,95.0,55.0,2.0,4.0,44.0,2.0,0.0,1
5.39,77.0,53.0,1.0,2.0,74.0,2.0,1.0,0
8.21,75.0,57.0,2.0,0.0,71.0,10.0,0.0,1
7.14,94.0,79.0,3.0,5.0,82.0,9.0,1.0,1
7.71,68.0,86.0,2.0,2.0,56.0,5.0,0.0,1
7.88,66.0,68.0,0.0,3.0,59.0,10.0,0.0,1
8.78,65.0,88.0,2.0,0.0,88.0,3.0,1.0,1
6.76,94.0,58.0,3.0,5.0,73.0,2.0,0.0,1
8.08,83.0,88.0,1.0,4.0,47.0,3.0,1.0,1
9.04,66.0,54.0,1.0,1.0,79.0,4.0,0.0,1
5.76,64.0,58.0,2.0,4.0,46.0,10.0,0.0,1
7.26,90.0,76.0,3.0,2.0,46.0,7.0,0.0,1
6.48,95.0,69.0,1.0,3.0,52.0,5.0,1.0,0
6.82,94.0,87.0,2.0,5.0,77.0,5.0,0.0,1
6.56,91.0,53.0,0.0,4.0,45.0,10.0,1.0,1
6.33,75.0,75.0,2.0,4.0,98.0,2.0,1.0,1
6.4,93.0,61.0,3.0,5.0,42.0,10.0,1.0,1
9.76,73.0,56.0,2.0,0.0,77.0,8.0,0.0,1
9.21,83.0,63.0,2.0,4.0,62.0,6.0,0.0,1
8.53,66.0,74.0,1.0,5.0,85.0,6.0,1.0,1
9.22,51.0,57.0,1.0,4.0,78.0,3.0,1.0,1
6.16,71.0,76.0,0.0,1.0,46.0,10.0,0.0,0
5.79,79.0,90.0,1.0,0.0,89.0,9.0,1.0,1
7.47,60.0,78.0,2.0,2.0,98.0,7.0,1.0,1
7.32,75.0,50.0,2.0,2.0,45.0,9.0,1.0,1
6.78,85.0,91.0,3.0,2.0,56.0,7.0,0.0,1
9.19,88.0,69.0,1.0,2.0,82.0,7.0,1.0,1
7.95,83.0,62.0,1.0,2.0,57.0,8.0,0.0,1
6.61,95.0,88.0,3.0,3.0,76.0,7.0,0.0,1
7.48,62.0,65.0,2.0,0.0,50.0,4.0,1.0,0
7.92,61.0,83.0,2.0,3.0,42.0,8.0,0.0,1
6.72,51.0,76.0,2.0,3.0,60.0,3.0,0.0,0
7.17,50.0,74.0,3.0,0.0,66.0,5.0,1.0,1
8.43,86.0,68.0,3.0,2.0,80.0,2.0,1.0,1
5.6,74.0,82.0,0.0,5.0,98.0,8.0,1.0,1
9.58,86.0,60.0,3.0,2.0,62.0,3.0,1.0,1
7.33,86.0,65.0,2.0,3.0,79.0,8.0,1.0,1
8.43,58.0,90.0,1.0,0.0,67.0,8.0,1.0,1
7.78,53.0,75.0,0.0,0.0,94.0,7.0,1.0,1
7.07,95.0,58.0,2.0,2.0,65.0,6.0,1.0,1
8.85,95.0,59.0,2.0,1.0,45.0,2.0,0.0,0
6.3,62.0,53.0,3.0,0.0,96.0,9.0,1.0,1
6.15,71.0,68.0,3.0,3.0,82.0,9.0,0.0,1
5.8,90.0,80.0,0.0,0.0,61.0,3.0,0.0,0
5.33,60.0,50.0,1.0,4.0,100.0,2.0,1.0,1
9.25,84.0,74.0,1.0,4.0,67.0,9.0,0.0,1
5.39,53.0,72.0,1.0,5.0,58.0,6.0,0.0,0
9.23,88.0,80.0,2.0,1.0,95.0,8.0,0.0,1
8.57,86.0,92.0,2.0,3.0,84.0,4.0,0.0,1
8.75,76.0,63.0,2.0,3.0,62.0,10.0,0.0,1
6.63,73.0,68.0,3.0,3.0,58.0,10.0,1.0,1
8.16,67.0,69.0,0.0,5.0,74.0,9.0,1.0,1
9.17,89.0,57.0,2.0,0.0,71.0,9.0,0.0,1
6.19,74.0,74.0,1.0,2.0,91.0,1.0,0.0,0
7.68,66.0,57.0,2.0,0.0,98.0,6.0,0.0,1
7.26,58.0,82.0,3.0,0.0,44.0,6.0,1.0,1
7.21,54.0,69.0,0.0,4.0,100.0,7.0,1.0,1
9.48,64.0,55.0,2.0,1.0,62.0,5.0,1.0,1
6.29,61.0,66.0,0.0,1.0,79.0,10.0,0.0,1
7.03,51.0,94.0,1.0,2.0,92.0,1.0,0.0,1
7.73,78.0,87.0,2.0,2.0,50.0,7.0,0.0,1
7.67,91.0,71.0,0.0,4.0,46.0,5.0,0.0,0
6.1,93.0,57.0,1.0,0.0,95.0,2.0,1.0,1
9.49,55.0,81.0,3.0,2.0,45.0,7.0,0.0,1
5.71,59.0,57.0,0.0,2.0,81.0,1.0,1.0,0
6.25,78.0,83.0,2.0,1.0,82.0,2.0,1.0,1
8.05,70.0,61.0,1.0,4.0,85.0,8.0,1.0,1
5.11,82.0,62.0,2.0,4.0,77.0,5.0,1.0,1
7.21,85.0,68.0,1.0,3.0,52.0,6.0,0.0,0
5.09,83.0,83.0,1.0,1.0,53.0,2.0,0.0,0
6.6,65.0,61.0,0.0,3.0,55.0,8.0,0.0,0
5.39,64.0,86.0,2.0,4.0,91.0,6.0,0.0,1
7.65,52.0,70.0,0.0,0.0,49.0,5.0,0.0,0
8.16,61.0,73.0,2.0,5.0,56.0,3.0,0.0,1
8.58,50.0,84.0,0.0,1.0,40.0,10.0,1.0,1
5.18,94.0,55.0,0.0,4.0,88.0,5.0,1.0,1
8.15,72.0,95.0,2.0,1.0,53.0,2.0,1.0,0
6.47,89.0,65.0,3.0,3.0,56.0,6.0,1.0,1
9.64,76.0,84.0,2.0,0.0,88.0,9.0,1.0,1
7.94,60.0,75.0,1.0,5.0,98.0,9.0,0.0,1
8.87,56.0,60.0,1.0,2.0,88.0,8.0,0.0,1
7.85,71.0,72.0,2.0,5.0,42.0,9.0,0.0,1
6.77,76.0,57.0,1.0,4.0,83.0,8.0,0.0,1
8.6,59.0,51.0,0.0,5.0,69.0,2.0,0.0,1
6.59,58.0,62.0,2.0,1.0,77.0,4.0,0.0,1
7.74,66.0,78.0,3.0,5.0,44.0,4.0,1.0,1
8.53,64.0,74.0,2.0,2.0,84.0,9.0,1.0,1
8.13,75.0,78.0,3.0,2.0,49.0,4.0,0.0,1
6.86,50.0,52.0,3.0,2.0,63.0,1.0,0.0,0
7.38,70.0,67.0,0.0,1.0,57.0,7.0,0.0,0
5.83,56.0,87.0,1.0,3.0,51.0,7.0,1.0,0
